"場所の名前","カテゴリ","区名","所在地","TEL","避難可能時間","災害対策基本法に基づく指定","避難場所の対象とする災害","経度","緯度","分類"
"学校法人大阪中華學校","防災関連施設 - 一時避難場所・災害時避難所","浪速区","敷津東1丁目8-13","","","指定避難所","","135.49865100356","34.6581339986386","災害時避難所"
"海老江東公園","防災関連施設 - 一時避難場所・災害時避難所","福島区","海老江１-４","","24時間","指定緊急避難場所","地震","135.47537200183","34.6963349964449","一時避難場所"
"大阪府立平野支援学校","防災関連施設 - 一時避難場所・災害時避難所","平野区","長吉川辺３丁目4-115","06-6707-6731","24時間","指定緊急避難場所・指定避難所","地震、津波","135.577431164536","34.5987283457414","一時避難場所・災害時避難所"
"阪南播磨公園","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","阪南町6-3","","24時間","指定緊急避難場所","地震、津波","135.511401005115","34.6210120043765","一時避難場所"
"高倉三公園","防災関連施設 - 一時避難場所・災害時避難所","都島区","都島区高倉町3-13","","24時間","指定緊急避難場所","地震、津波","135.532801728409","34.7204870008214","一時避難場所"
"京橋公園","防災関連施設 - 一時避難場所・災害時避難所","都島区","東野田町2-6","","24時間","指定緊急避難場所","地震、津波","135.53111599921","34.6976489986215","一時避難場所"
"西梅田公園","防災関連施設 - 一時避難場所・災害時避難所","北区","梅田２","","24時間","指定緊急避難場所","地震","135.490909995703","34.6974659983781","一時避難場所"
"西天満どんぐり公園","防災関連施設 - 一時避難場所・災害時避難所","北区","西天満３","","24時間","指定緊急避難場所","地震、津波","135.507803997709","34.6959590001411","一時避難場所"
"銅座幼稚園","防災関連施設 - 一時避難場所・災害時避難所","中央区","内久宝寺町１-１-４","","24時間","指定緊急避難場所、指定避難所","地震、津波","135.518435997555","34.6777540010552","一時避難場所・災害時避難所"
"玉造幼稚園","防災関連施設 - 一時避難場所・災害時避難所","中央区","玉造１-９-10","","24時間","指定緊急避難場所、指定避難所","地震、津波","135.530582999101","34.6759369962629","一時避難場所・災害時避難所"
"桃園幼稚園","防災関連施設 - 一時避難場所・災害時避難所","中央区","谷町６-５-３４","","24時間","指定緊急避難場所・指定避難所","地震、津波","135.516058999533","34.6747750035318","一時避難場所・災害時避難所"
"帝塚山学院第２体育館","防災関連施設 - 一時避難場所・災害時避難所","住吉区","帝塚山西１-６-７","","","指定避難所","-","135.497762997366","34.6216010037449","一時避難場所・災害時避難所"
"市営大野住宅集会所（1階、2階）","防災関連施設 - 一時避難場所・災害時避難所","西淀川区","大野３-７-11","","","指定避難所","-","135.439455000746","34.6981050029107","災害時避難所"
"たまつ和ひろば","防災関連施設 - 一時避難場所・災害時避難所","東成区","玉津２-３","","24時間","指定緊急避難場所","地震、津波","135.53732899888","34.6695230005493","一時避難場所"
"平林泉公園","防災関連施設 - 一時避難場所・災害時避難所","住之江区","泉２－１","","24時間","指定緊急避難場所","地震","135.46217999943","34.6133160043672","一時避難場所"
"宗教法人法仙寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町7-35","","24時間","指定緊急避難場所","地震、津波","135.512817000313","34.6608210012792","一時避難場所"
"宗教法人鳳林寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","六万体町2-10","","24時間","指定緊急避難場所","地震、津波","135.515027002597","34.6597660001613","一時避難場所"
"宗教法人青蓮寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町3-19","","24時間","指定緊急避難場所","地震、津波","135.513047573928","34.6604008169302","一時避難場所"
"宗教法人銀山寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町6-26","","24時間","指定緊急避難場所","地震、津波","135.51284908708","34.6631198052917","一時避難場所"
"宗教法人清恩寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町5-9","","24時間","指定緊急避難場所","地震、津波","135.514020896278","34.662483461626","一時避難場所"
"宗教法人宗惠院","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉前町5-22","","24時間","指定緊急避難場所","地震、津波","135.515483612923","34.6619848691285","一時避難場所"
"宗教法人大安寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町7-25","","24時間","指定緊急避難場所","地震、津波","135.512846678763","34.6618068694691","一時避難場所"
"宗教法人大善寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町5-29","","24時間","指定緊急避難場所","地震、津波","135.513168544654","34.6626158288752","一時避難場所"
"宗教法人圓通寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","生玉寺町5-4","","24時間","指定緊急避難場所","地震、津波","135.513969664789","34.6631982556857","一時避難場所"
"宗教法人吉祥寺","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","六万体町1-20","","24時間","指定緊急避難場所","地震、津波","135.51496207932","34.6603120855737","一時避難場所"
"友淵小学校分校","防災関連施設 - 一時避難場所・災害時避難所","都島区","都島区友渕町1-3-187","","24時間","指定緊急避難場所","地震、津波","135.52252700247","34.7169590016772","一時避難場所・災害時避難所"
"住道南公園","防災関連施設 - 一時避難場所・災害時避難所","東住吉区","東住吉区住道矢田9-1","","24時間","指定緊急避難場所","地震、津波","135.540276999329","34.601727003876","一時避難場所・災害時避難所"
"えびえにし防災広場","防災関連施設 - 一時避難場所・災害時避難所","福島区","福島区海老江8-13","","24時間","指定緊急避難場所","地震","135.46836700004","34.6959009991221","一時避難場所"
"島屋西公園","防災関連施設 - 一時避難場所・災害時避難所","此花区","島屋５-１","","24時間","指定緊急避難場所","地震","135.435916999104","34.6684770020093","一時避難場所"
"島屋南公園","防災関連施設 - 一時避難場所・災害時避難所","此花区","島屋６-１","","24時間","指定緊急避難場所","地震","135.441277004661","34.670560998566","一時避難場所"
"桃谷中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山北3-13-44","6712-0017","24時間","指定緊急避難場所・指定避難所","地震、津波","135.533520639434","34.6550913726813","一時避難場所・災害時避難所"
"もと鶴橋中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山北4-9-22","6731-6340","24時間","指定緊急避難場所・指定避難所","地震、津波","135.537393958517","34.6563575754006","一時避難場所・災害時避難所"
"日本橋小中一貫校","防災関連施設 - 一時避難場所・災害時避難所","浪速区","日本橋西1-7-6","6633-3751","24時間","指定緊急避難場所・指定避難所","地震、津波","135.504000743314","34.6585661929954","一時避難場所・災害時避難所"
"咲洲みなみ小中一貫校","防災関連施設 - 一時避難場所・災害時避難所","住之江区","南港中3-5-14","6614-0600","24時間","指定緊急避難場所・指定避難所","地震","135.425966135171","34.6285211434844","一時避難場所・災害時避難所"
"上福島北公園","防災関連施設 - 一時避難場所・災害時避難所","福島区","福島7-23","－","24時間","指定緊急避難場所","地震","135.486017776218","34.700802029058","一時避難場所"
"上福島公園","防災関連施設 - 一時避難場所・災害時避難所","福島区","福島7-10","－","24時間","指定緊急避難場所","地震","135.484712722037","34.6983576753065","一時避難場所"
"大野東公園","防災関連施設 - 一時避難場所・災害時避難所","福島区","野田2-8","－","24時間","指定緊急避難場所","地震","135.477964277531","34.6858840859891","一時避難場所"
"帝塚山学院","防災関連施設 - 一時避難場所・災害時避難所","住吉区","帝塚山中3-10-51","6672-1954","24時間","指定緊急避難場所","地震、津波","135.498424882639","34.6206006716252","一時避難場所"
"大野百鳥コミュニティ会館","防災関連施設 - 一時避難場所・災害時避難所","西淀川区","大野3-7-11","6211-0630","-","指定避難所","-","135.439598628427","34.6981076107307","災害時避難所"
"大谷中学校・高等学校","防災関連施設 - 一時避難場所・災害時避難所","阿倍野区","共立通2-8-4","6661-8400","24時間","指定緊急避難場所・指定避難所","地震、津波","135.505255828733","34.6391744483954","一時避難場所・災害時避難所"
"もと日東小学校","防災関連施設 - 一時避難場所・災害時避難所","浪速区","日本橋東3-1-23","6632-7046","24時間","指定緊急避難場所・指定避難所","地震、津波","135.508351455699","34.6582157986773","一時避難場所・災害時避難所"
